HN,คำนำหน้า,ชื่อ,สกุล,เลขบัตรประชาชน,วันเดือนปีเกิด,อายุ,ระดับการศึกษา,เพศ,บ้านเลขที่,หมู่,ตำบล,อำเภอ,จังหวัด,ที่อยู่รวม,ชื่อผู้ดูแล,เบอร์โทรศัพท์,มีโรคประจำตัว,รายละเอียดโรคประจำตัว,คะแนน MMSE,ผล MMSE,คะแนน TGDS,ผล TGDS,คะแนน 8Q,ระดับความเสี่ยงฆ่าตัวตาย,ผลการได้ยินหูซ้าย,รายละเอียดหูซ้าย,ผลการได้ยินหูขวา,รายละเอียดหูขวา,การมองเห็นตาขวา (Snellen),การมองเห็นตาซ้าย (Snellen),ภาวะกลั้นปัสสาวะ,ปัญหาการนอน,วันที่ประเมิน
HN000256,นาง,ลลิตา,บุญมา,4370175428040.00,1941-03-19,84,ประถมศึกษา,ชาย,36,3,ต.หัวหมาก,อ.บางกะปิ,จ.กรุงเทพมหานคร,บ้านเลขที่ 36 หมู่ 3 ต.หัวหมาก อ.บางกะปิ จ.กรุงเทพมหานคร,ไม่มีผู้ดูแล,885425697,มี,เบาหวาน,22,สงสัยผิดปกติ,6,ปกติ,3,ต่ำ,ปกติ,,ผิดปกติ,ติดเชื้อในหู,6/24,6/18,ไม่มี,ไม่มี,2025-07-21
HN000257,นางสาว,พิมพ์ชนก,คำแหง,4758573633886.00,1949-12-08,76,ประถมศึกษา,หญิง,111,3,ต.แสนสุข,อ.เมืองชลบุรี,จ.ชลบุรี,บ้านเลขที่ 111 หมู่ 3 ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี,สมพร คำแปง,687280273,มี,ข้อเข่าเสื่อม,27,ปกติ,11,เสี่ยงซึมเศร้า,7,ปานกลาง,ผิดปกติ,หูตึงรุนแรง,ผิดปกติ,ติดเชื้อในหู,6/12,6/9,ไม่มี,ไม่มี,2025-01-19
HN000258,นางสาว,ปรียา,โชติช่วง,5684116993905.00,1958-01-27,67,ไม่ได้เรียนหนังสือ,หญิง,152,10,ต.แม่กา,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 152 หมู่ 10 ต.แม่กา อ.เมืองพะเยา จ.พะเยา,สมโภชน์ เพ็งดี,865166137,มี,เบาหวาน,26,ปกติ,4,ปกติ,4,ต่ำ,ผิดปกติ,ติดเชื้อในหู,ปกติ,,6/9,6/9,ไม่มี,ส่งต่อแพทย์,2025-06-18
HN000259,นาย,ปรียา,ศรีบุญ,5700258045841.00,1943-03-21,82,สูงกว่าประถมศึกษา,หญิง,139,19,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 139 หมู่ 19 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,จิตรา คำแปง,641514310,มี,ความดันโลหิตสูง,25,ปกติ,8,เสี่ยงซึมเศร้า,3,ต่ำ,ผิดปกติ,หูตึงรุนแรง,ผิดปกติ,ติดเชื้อในหู,6/12,6/12,ไม่มี,ไม่มี,2025-08-06
HN000260,นาย,พิมพ์ชนก,วัฒนานนท์,9769754107979.00,1941-01-24,84,ประถมศึกษา,ชาย,243,5,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 243 หมู่ 5 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,นงนุช ปัญญา,656988634,ไม่มี,ไม่มี,27,ปกติ,6,ปกติ,4,ต่ำ,ผิดปกติ,หูตึงปานกลาง,ผิดปกติ,ติดเชื้อในหู,6/18,6/18,ไม่มี,ไม่มี,2025-07-08
HN000261,นาง,ชยพล,ทองดี,5811406761603.00,1945-05-21,80,สูงกว่าประถมศึกษา,หญิง,111,20,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,บ้านเลขที่ 111 หมู่ 20 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,ไม่มีผู้ดูแล,896027535,มี,เบาหวาน,18,สงสัยผิดปกติ,8,เสี่ยงซึมเศร้า,10,ปานกลาง,ผิดปกติ,หูตึงปานกลาง,ปกติ,,6/18,6/24,ไม่มี,ไม่มี,2025-09-14
HN000262,นาง,ปรียา,รุ่งเรือง,8537281694089.00,1935-02-01,90,ประถมศึกษา,หญิง,281,19,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,บ้านเลขที่ 281 หมู่ 19 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,นงนุช สมใจ,620089175,มี,ไตเรื้อรัง,18,สงสัยผิดปกติ,12,เสี่ยงซึมเศร้า,10,ปานกลาง,ปกติ,,ผิดปกติ,ได้ยินไม่ชัด,6/24,6/18,ไม่มี,ไม่มี,2025-03-20
HN000263,นางสาว,ธนพล,บุญช่วย,4575099713255.00,1956-11-02,69,ประถมศึกษา,ชาย,238,9,ต.ท่าวังทอง,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 238 หมู่ 9 ต.ท่าวังทอง อ.เมืองพะเยา จ.พะเยา,กมล คำแปง,901923715,มี,ข้อเข่าเสื่อม,24,ปกติ,7,เสี่ยงซึมเศร้า,8,ปานกลาง,ปกติ,,ปกติ,,6/12,6/12,ไม่มี,ส่งต่อแพทย์,2025-07-25
HN000264,นาย,ลลิตา,อรุณสวัสดิ์,8805727364510.00,1956-11-02,69,ประถมศึกษา,ชาย,29,3,ต.ท่าวังทอง,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 29 หมู่ 3 ต.ท่าวังทอง อ.เมืองพะเยา จ.พะเยา,กมล คำแปง,958196839,มี,ข้อเข่าเสื่อม,24,ปกติ,7,เสี่ยงซึมเศร้า,8,ปานกลาง,ปกติ,,ปกติ,,6/12,6/12,ไม่มี,ส่งต่อแพทย์,2025-07-25
HN000265,นาย,สมปอง,ศิริกุล,5911081246729.00,1939-07-01,86,ประถมศึกษา,ชาย,117,11,ต.ลาดพร้าว,อ.ลาดพร้าว,จ.กรุงเทพมหานคร,บ้านเลขที่ 117 หมู่ 11 ต.ลาดพร้าว อ.ลาดพร้าว จ.กรุงเทพมหานคร,กมล เพ็งดี,982947744,มี,ไขมันในเลือดสูง,20,สงสัยผิดปกติ,6,ปกติ,1,ต่ำ,ผิดปกติ,หูตึงรุนแรง,ปกติ,,6/18,6/18,ไม่มี,ส่งต่อแพทย์,2025-12-03
HN000266,นางสาว,ณัฐพล,มงคลชัย,4523561575159.00,1952-01-27,73,ประถมศึกษา,ชาย,109,3,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 109 หมู่ 3 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,วิชัย เพ็งดี,670577419,ไม่มี,ไม่มี,28,ปกติ,4,ปกติ,2,ต่ำ,ปกติ,,ปกติ,,6/9,6/9,ไม่มี,ไม่มี,2025-08-26
HN000267,นาย,ปรียา,รุ่งเรือง,2852378137117.00,1940-05-13,85,ประถมศึกษา,ชาย,48,6,ต.สำราญ,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 48 หมู่ 6 ต.สำราญ อ.เมืองขอนแก่น จ.ขอนแก่น,จิตรา แสงทอง,982356989,มี,โรคหัวใจ,18,สงสัยผิดปกติ,10,เสี่ยงซึมเศร้า,4,ต่ำ,ผิดปกติ,หูตึงเล็กน้อย,ปกติ,,6/12,6/18,ไม่มี,ไม่มี,2025-05-14
HN000268,นาย,กฤตภาส,ทองดี,2382416492839.00,1948-11-05,77,ประถมศึกษา,หญิง,280,2,ต.ท่าวังทอง,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 280 หมู่ 2 ต.ท่าวังทอง อ.เมืองพะเยา จ.พะเยา,อาทิตย์ บุญเรือง,611539256,ไม่มี,ไม่มี,26,ปกติ,1,ปกติ,4,ต่ำ,ปกติ,,ปกติ,,6/12,6/12,ไม่มี,ไม่มี,2025-03-12
HN000269,นางสาว,กันตพงศ์,รัตนสกุล,6560100176550.00,1944-07-04,81,ประถมศึกษา,หญิง,241,14,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 241 หมู่ 14 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,จิตรา บุญเรือง,969131042,มี,หอบหืด,23,สงสัยผิดปกติ,11,เสี่ยงซึมเศร้า,7,ปานกลาง,ปกติ,,ผิดปกติ,ได้ยินไม่ชัด,6/18,6/18,ไม่มี,ไม่มี,2025-11-04
HN000270,นาง,ขวัญใจ,คำแหง,4404788401360.00,1930-06-10,95,สูงกว่าประถมศึกษา,ชาย,98,16,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,บ้านเลขที่ 98 หมู่ 16 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,จิตรา วงศ์ไทย,654163161,ไม่มี,ไม่มี,22,สงสัยผิดปกติ,10,เสี่ยงซึมเศร้า,5,ต่ำ,ผิดปกติ,หูตึงเล็กน้อย,ผิดปกติ,ได้ยินไม่ชัด,6/12,6/24,มี,ส่งต่อแพทย์,2025-08-18
HN000271,นาย,รุ้งตะวัน,ศิริกุล,7497161015614.00,1957-11-06,68,ประถมศึกษา,หญิง,69,19,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 69 หมู่ 19 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,จิตรา สมใจ,679718154,มี,ข้อเข่าเสื่อม,26,ปกติ,5,ปกติ,0,ไม่มีความเสี่ยง,ผิดปกติ,หูตึงเล็กน้อย,ปกติ,,6/9,6/6,ไม่มี,ส่งต่อแพทย์,2025-01-25
HN000272,นางสาว,รุ้งตะวัน,มงคลชัย,5376525514035.00,1943-03-21,82,สูงกว่าประถมศึกษา,หญิง,299,11,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 299 หมู่ 11 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,จิตรา คำแปง,894907522,มี,ความดันโลหิตสูง,25,ปกติ,8,เสี่ยงซึมเศร้า,3,ต่ำ,ผิดปกติ,หูตึงรุนแรง,ผิดปกติ,ติดเชื้อในหู,6/12,6/12,ไม่มี,ไม่มี,2025-08-06
HN000273,นาง,ขวัญใจ,ทองดี,9832483911277.00,1932-05-24,93,ประถมศึกษา,หญิง,6,10,ต.สุเทพ,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 6 หมู่ 10 ต.สุเทพ อ.เมืองเชียงใหม่ จ.เชียงใหม่,สมพร วัฒนกิจ,882470887,ไม่มี,ไม่มี,24,ปกติ,10,เสี่ยงซึมเศร้า,2,ต่ำ,ผิดปกติ,ได้ยินไม่ชัด,ปกติ,,6/18,6/18,ไม่มี,ไม่มี,2025-08-21
HN000274,นางสาว,นรินทร์,กิตติเดช,6741430698219.00,1940-04-25,85,ประถมศึกษา,ชาย,129,4,ต.เวียง,อ.เมืองเชียงราย,จ.เชียงราย,บ้านเลขที่ 129 หมู่ 4 ต.เวียง อ.เมืองเชียงราย จ.เชียงราย,จิตรา อินทรา,976334676,มี,หอบหืด,21,สงสัยผิดปกติ,15,เสี่ยงซึมเศร้า,6,ปานกลาง,ผิดปกติ,หูตึงปานกลาง,ผิดปกติ,ติดเชื้อในหู,6/12,6/18,ไม่มี,ส่งต่อแพทย์,2025-03-19
HN000275,นาง,พิมพ์ชนก,ปฐวี,5551860832684.00,1963-04-26,62,ไม่ได้เรียนหนังสือ,หญิง,244,1,ต.ริมกก,อ.เมืองเชียงราย,จ.เชียงราย,บ้านเลขที่ 244 หมู่ 1 ต.ริมกก อ.เมืองเชียงราย จ.เชียงราย,จารุวรรณ บุญเรือง,944525731,มี,ไตเรื้อรัง,28,ปกติ,4,ปกติ,4,ต่ำ,ผิดปกติ,หูตึงรุนแรง,ปกติ,,6/9,6/12,ไม่มี,ไม่มี,2025-12-11
HN000276,นาย,ณัฐพล,ปฐวี,7725428201728.00,1948-08-25,77,ประถมศึกษา,ชาย,68,18,ต.ริมกก,อ.เมืองเชียงราย,จ.เชียงราย,บ้านเลขที่ 68 หมู่ 18 ต.ริมกก อ.เมืองเชียงราย จ.เชียงราย,ไม่มีผู้ดูแล,925109812,ไม่มี,ไม่มี,21,สงสัยผิดปกติ,9,เสี่ยงซึมเศร้า,6,ปานกลาง,ปกติ,,ผิดปกติ,ติดเชื้อในหู,6/18,6/9,มี,ไม่มี,2025-01-19
HN000277,นาง,ชวัลลักษณ์,จันทร์เพ็ญ,8945430094306.00,1965-02-02,60,สูงกว่าประถมศึกษา,หญิง,159,15,ต.แสนสุข,อ.เมืองชลบุรี,จ.ชลบุรี,บ้านเลขที่ 159 หมู่ 15 ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี,อาทิตย์ เพ็งดี,917817374,ไม่มี,ไม่มี,26,ปกติ,8,เสี่ยงซึมเศร้า,8,ปานกลาง,ปกติ,,ปกติ,,6/12,6/9,มี,ไม่มี,2025-06-26
HN000278,นาย,ณัฐพล,มงคลชัย,3774998835575.00,1949-12-08,76,ประถมศึกษา,หญิง,115,3,ต.แสนสุข,อ.เมืองชลบุรี,จ.ชลบุรี,บ้านเลขที่ 115 หมู่ 3 ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี,สมพร คำแปง,958710442,มี,ข้อเข่าเสื่อม,27,ปกติ,11,เสี่ยงซึมเศร้า,7,ปานกลาง,ผิดปกติ,หูตึงรุนแรง,ผิดปกติ,ติดเชื้อในหู,6/12,6/9,ไม่มี,ไม่มี,2025-01-19
HN000279,นางสาว,กันตพงศ์,มณีวรรณ,8385013743758.00,1941-12-03,84,ประถมศึกษา,ชาย,84,5,ต.เวียง,อ.เมืองเชียงราย,จ.เชียงราย,บ้านเลขที่ 84 หมู่ 5 ต.เวียง อ.เมืองเชียงราย จ.เชียงราย,ไม่มีผู้ดูแล,831124337,มี,หอบหืด,19,สงสัยผิดปกติ,4,ปกติ,0,ไม่มีความเสี่ยง,ผิดปกติ,หูตึงเล็กน้อย,ผิดปกติ,หูตึงรุนแรง,6/12,6/24,มี,ไม่มี,2025-09-08
HN000280,นางสาว,สมชาย,ศิริสุข,3455238971312.00,1950-08-04,75,สูงกว่าประถมศึกษา,ชาย,95,8,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 95 หมู่ 8 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,ไม่มีผู้ดูแล,604738392,ไม่มี,ไม่มี,24,ปกติ,3,ปกติ,0,ไม่มีความเสี่ยง,ผิดปกติ,หูตึงปานกลาง,ผิดปกติ,หูตึงรุนแรง,6/18,6/18,ไม่มี,ไม่มี,2025-05-16
HN000281,นางสาว,ปรียา,คำแหง,5481386675099.00,1950-10-10,75,ประถมศึกษา,หญิง,189,13,ต.ท่าวังทอง,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 189 หมู่ 13 ต.ท่าวังทอง อ.เมืองพะเยา จ.พะเยา,ไม่มีผู้ดูแล,686946488,มี,ความดันโลหิตสูง,27,ปกติ,8,เสี่ยงซึมเศร้า,9,ปานกลาง,ปกติ,,ปกติ,,6/12,6/12,ไม่มี,ไม่มี,2025-08-24
HN000282,นาง,นรินทร์,สิงหนาท,1730386003815.00,1951-05-02,74,สูงกว่าประถมศึกษา,หญิง,139,15,ต.สุเทพ,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 139 หมู่ 15 ต.สุเทพ อ.เมืองเชียงใหม่ จ.เชียงใหม่,กมล วงศ์ไทย,654444445,ไม่มี,ไม่มี,25,ปกติ,8,เสี่ยงซึมเศร้า,11,สูง,ผิดปกติ,หูตึงเล็กน้อย,ผิดปกติ,ได้ยินไม่ชัด,6/18,6/18,ไม่มี,ไม่มี,2025-02-10
HN000283,นาง,อนันต์,สุวรรณศิลป์,1977913929360.00,1953-05-17,72,ประถมศึกษา,ชาย,214,5,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 214 หมู่ 5 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,ไม่มีผู้ดูแล,670879681,มี,ไตเรื้อรัง,29,ปกติ,4,ปกติ,3,ต่ำ,ปกติ,,ผิดปกติ,หูตึงรุนแรง,6/9,6/18,มี,ส่งต่อแพทย์,2025-06-06
HN000284,นาย,ชยาธิป,ทองมาก,3412765943384.00,1947-01-04,78,ประถมศึกษา,ชาย,247,13,ต.หัวหมาก,อ.บางกะปิ,จ.กรุงเทพมหานคร,บ้านเลขที่ 247 หมู่ 13 ต.หัวหมาก อ.บางกะปิ จ.กรุงเทพมหานคร,ทศพล คำแปง,894395622,มี,ความดันโลหิตสูง,22,สงสัยผิดปกติ,3,ปกติ,4,ต่ำ,ปกติ,,ผิดปกติ,หูตึงรุนแรง,6/9,6/9,ไม่มี,ไม่มี,2025-04-21
HN000285,นาย,ธิดารัตน์,เสริมสุข,9543641707083.00,1939-07-01,86,ประถมศึกษา,ชาย,18,16,ต.ลาดพร้าว,อ.ลาดพร้าว,จ.กรุงเทพมหานคร,บ้านเลขที่ 18 หมู่ 16 ต.ลาดพร้าว อ.ลาดพร้าว จ.กรุงเทพมหานคร,กมล เพ็งดี,808066171,มี,ไขมันในเลือดสูง,20,สงสัยผิดปกติ,6,ปกติ,1,ต่ำ,ผิดปกติ,หูตึงรุนแรง,ปกติ,,6/18,6/18,ไม่มี,ส่งต่อแพทย์,2025-12-03
HN000286,นางสาว,สมปอง,ศรีนวล,7099377530090.00,1936-08-17,89,ประถมศึกษา,หญิง,43,20,ต.แม่กา,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 43 หมู่ 20 ต.แม่กา อ.เมืองพะเยา จ.พะเยา,ปวีณ์นุช สมใจ,942923952,ไม่มี,ไม่มี,27,ปกติ,6,ปกติ,2,ต่ำ,ปกติ,,ปกติ,,6/24,6/12,ไม่มี,ไม่มี,2025-11-07
HN000287,นาง,อัญชลี,สุขเกษม,3277312749367.00,1962-10-17,63,ไม่ได้เรียนหนังสือ,ชาย,233,16,ต.ริมกก,อ.เมืองเชียงราย,จ.เชียงราย,บ้านเลขที่ 233 หมู่ 16 ต.ริมกก อ.เมืองเชียงราย จ.เชียงราย,ไม่มีผู้ดูแล,875378826,มี,ไตเรื้อรัง,24,ปกติ,2,ปกติ,4,ต่ำ,ปกติ,,ปกติ,,6/9,6/12,ไม่มี,ส่งต่อแพทย์,2025-08-16
HN000288,นาง,สมศรี,สิงหนาท,1347798788441.00,1963-11-15,62,ประถมศึกษา,หญิง,299,5,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 299 หมู่ 5 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,อาทิตย์ วงศ์ไทย,685787013,มี,โรคหัวใจ,26,ปกติ,7,เสี่ยงซึมเศร้า,3,ต่ำ,ปกติ,,ปกติ,,6/6,6/12,ไม่มี,ส่งต่อแพทย์,2025-06-16
HN000289,นางสาว,ภูริ,เกียรติก้อง,2699527784280.00,1954-07-21,71,สูงกว่าประถมศึกษา,หญิง,52,4,ต.ริมกก,อ.เมืองเชียงราย,จ.เชียงราย,บ้านเลขที่ 52 หมู่ 4 ต.ริมกก อ.เมืองเชียงราย จ.เชียงราย,สมพร วัฒนกิจ,844478567,ไม่มี,ไม่มี,26,ปกติ,5,ปกติ,4,ต่ำ,ผิดปกติ,หูตึงเล็กน้อย,ปกติ,,6/12,6/9,ไม่มี,ไม่มี,2025-12-18
HN000290,นาย,อัญชลี,ศิริสุข,4630189629242.00,1949-03-16,76,ประถมศึกษา,หญิง,124,5,ต.ในเมือง,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 124 หมู่ 5 ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น,กมล เพ็งดี,902970790,ไม่มี,ไม่มี,22,สงสัยผิดปกติ,3,ปกติ,2,ต่ำ,ปกติ,,ปกติ,,6/9,6/18,ไม่มี,ไม่มี,2025-02-10
HN000291,นาง,ชยาธิป,อรุณสวัสดิ์,2668377455222.00,1951-05-02,74,สูงกว่าประถมศึกษา,หญิง,122,10,ต.สุเทพ,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 122 หมู่ 10 ต.สุเทพ อ.เมืองเชียงใหม่ จ.เชียงใหม่,กมล วงศ์ไทย,621729586,ไม่มี,ไม่มี,25,ปกติ,8,เสี่ยงซึมเศร้า,11,สูง,ผิดปกติ,หูตึงเล็กน้อย,ผิดปกติ,ได้ยินไม่ชัด,6/18,6/18,ไม่มี,ไม่มี,2025-02-10
HN000292,นาง,ชวัลลักษณ์,ศรีภูมิ,2215342864506.00,1963-04-02,62,ประถมศึกษา,หญิง,77,1,ต.ท่าวังทอง,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 77 หมู่ 1 ต.ท่าวังทอง อ.เมืองพะเยา จ.พะเยา,จิตรา ชูศรี,954924863,ไม่มี,ไม่มี,30,ปกติ,2,ปกติ,4,ต่ำ,ผิดปกติ,หูตึงเล็กน้อย,ปกติ,,6/6,6/12,ไม่มี,ส่งต่อแพทย์,2025-10-17
HN000293,นาย,วรัญญา,ศิริสุข,6753253063205.00,1946-03-10,79,ประถมศึกษา,ชาย,131,16,ต.สำราญ,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 131 หมู่ 16 ต.สำราญ อ.เมืองขอนแก่น จ.ขอนแก่น,ไม่มีผู้ดูแล,623968280,ไม่มี,ไม่มี,21,สงสัยผิดปกติ,4,ปกติ,3,ต่ำ,ผิดปกติ,ได้ยินไม่ชัด,ผิดปกติ,หูตึงปานกลาง,6/9,6/12,มี,ไม่มี,2025-08-14
HN000294,นาง,ปรียา,ทรัพย์เพิ่มพูน,3752202058647.00,1949-12-08,76,ประถมศึกษา,หญิง,261,2,ต.แสนสุข,อ.เมืองชลบุรี,จ.ชลบุรี,บ้านเลขที่ 261 หมู่ 2 ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี,สมพร คำแปง,857611719,มี,ข้อเข่าเสื่อม,27,ปกติ,11,เสี่ยงซึมเศร้า,7,ปานกลาง,ผิดปกติ,หูตึงรุนแรง,ผิดปกติ,ติดเชื้อในหู,6/12,6/9,ไม่มี,ไม่มี,2025-01-19
HN000295,นางสาว,อัญชลี,สุขเกษม,8890103248765.00,1935-12-27,90,สูงกว่าประถมศึกษา,หญิง,57,11,ต.ในเมือง,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 57 หมู่ 11 ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น,ไม่มีผู้ดูแล,970817624,มี,โรคหัวใจ,24,ปกติ,10,เสี่ยงซึมเศร้า,5,ต่ำ,ผิดปกติ,ติดเชื้อในหู,ปกติ,,6/12,6/12,ไม่มี,ไม่มี,2025-06-27
HN000296,นาง,ชยุต,รัตนสกุล,6243799143830.00,1934-08-23,91,ประถมศึกษา,ชาย,258,8,ต.ในเมือง,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 258 หมู่ 8 ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น,สมโภชน์ แสงทอง,979972772,มี,ไขมันในเลือดสูง,24,ปกติ,12,เสี่ยงซึมเศร้า,5,ต่ำ,ปกติ,,ผิดปกติ,หูตึงปานกลาง,6/12,6/18,ไม่มี,ไม่มี,2025-10-27
HN000297,นาย,สิทธา,ศิริกุล,8157090327244.00,1944-07-04,81,ประถมศึกษา,หญิง,57,10,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 57 หมู่ 10 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,จิตรา บุญเรือง,907891933,มี,หอบหืด,23,สงสัยผิดปกติ,11,เสี่ยงซึมเศร้า,7,ปานกลาง,ปกติ,,ผิดปกติ,ได้ยินไม่ชัด,6/18,6/18,ไม่มี,ไม่มี,2025-11-04
HN000298,นาง,อนันต์,สุขสันต์,9879658721769.00,1950-04-27,75,ไม่ได้เรียนหนังสือ,ชาย,67,2,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,บ้านเลขที่ 67 หมู่ 2 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,ทศพล บุญเรือง,846802576,มี,ข้อเข่าเสื่อม,21,สงสัยผิดปกติ,7,เสี่ยงซึมเศร้า,10,ปานกลาง,ผิดปกติ,ติดเชื้อในหู,ปกติ,,6/12,6/12,มี,ไม่มี,2025-03-16
HN000299,นาง,อัญชลี,สุขสันต์,3711883218963.00,1943-05-13,82,ประถมศึกษา,ชาย,266,5,ต.แสนสุข,อ.เมืองชลบุรี,จ.ชลบุรี,บ้านเลขที่ 266 หมู่ 5 ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี,ไม่มีผู้ดูแล,923262698,มี,ข้อเข่าเสื่อม,25,ปกติ,13,เสี่ยงซึมเศร้า,7,ปานกลาง,ผิดปกติ,หูตึงรุนแรง,ผิดปกติ,หูตึงรุนแรง,6/24,6/24,ไม่มี,ไม่มี,2025-05-24
HN000300,นาย,รุ้งตะวัน,วัฒนานนท์,7407260295297.00,1939-04-21,86,ประถมศึกษา,หญิง,97,12,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 97 หมู่ 12 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,ไม่มีผู้ดูแล,844043887,ไม่มี,ไม่มี,19,สงสัยผิดปกติ,5,ปกติ,4,ต่ำ,ผิดปกติ,ได้ยินไม่ชัด,ผิดปกติ,ติดเชื้อในหู,6/12,6/12,ไม่มี,ส่งต่อแพทย์,2025-02-28
HN000301,นางสาว,ณัฐพล,ทองมาก,1457926610905.00,1946-05-03,79,สูงกว่าประถมศึกษา,หญิง,284,8,ต.หัวหมาก,อ.บางกะปิ,จ.กรุงเทพมหานคร,บ้านเลขที่ 284 หมู่ 8 ต.หัวหมาก อ.บางกะปิ จ.กรุงเทพมหานคร,ไม่มีผู้ดูแล,952582778,ไม่มี,ไม่มี,22,สงสัยผิดปกติ,1,ปกติ,2,ต่ำ,ผิดปกติ,หูตึงรุนแรง,ผิดปกติ,หูตึงปานกลาง,6/9,6/12,มี,ส่งต่อแพทย์,2025-08-09
HN000302,นาย,กฤตภาส,ต้นงิ้ว,8013429492173.00,1962-05-10,63,ประถมศึกษา,ชาย,240,5,ต.แม่กา,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 240 หมู่ 5 ต.แม่กา อ.เมืองพะเยา จ.พะเยา,สมพร แสงทอง,924039471,มี,ข้อเข่าเสื่อม,29,ปกติ,4,ปกติ,3,ต่ำ,ปกติ,,ผิดปกติ,หูตึงเล็กน้อย,6/9,6/6,ไม่มี,ไม่มี,2025-03-10
HN000303,นาง,สมชาย,คำแหง,5285204389813.00,1948-03-09,77,ประถมศึกษา,ชาย,160,3,ต.แม่กา,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 160 หมู่ 3 ต.แม่กา อ.เมืองพะเยา จ.พะเยา,อาทิตย์ สมใจ,806320888,ไม่มี,ไม่มี,24,ปกติ,3,ปกติ,1,ต่ำ,ปกติ,,ผิดปกติ,หูตึงรุนแรง,6/18,6/12,มี,ส่งต่อแพทย์,2025-09-20
